Wall time,Step,Value
1741865011.1753676,465500,-15656.5224609375
1741865032.4837954,466000,-15502.96484375
1741865052.4768038,466500,-32801.62109375
1741865256.6941345,471500,-13975.33984375
1741865398.6422844,475000,-29591.455078125
1741865460.1378293,476500,-11150.66015625
1741865519.774028,478000,-4286.5322265625
1741865683.4043152,482000,-17006.986328125
1741865989.539623,489500,-9819.3037109375
1741866009.407802,490000,-15432.6875
1741866070.9413993,491500,-17349.453125
1741866152.6467493,493500,-10509.0361328125
1741866235.1513677,495500,-5516.97802734375
1741866275.91335,496500,-27998.625
1741866316.7141519,497500,-23908.1875
1741866419.4988964,500000,-18984.296875
1741866479.86371,501500,-11590.7578125
1741866501.0283282,502000,-31884.77734375
1741866520.8473847,502500,-4717.80126953125
1741866561.3996081,503500,-12416.1552734375
1741866704.8721623,507000,-7676.7529296875
1741866745.6192403,508000,-14094.2421875
1741866887.5331059,511500,-12700.525390625
1741866968.7256951,513500,-8831.0693359375
1741867009.9806492,514500,-13987.802734375
1741867151.539442,518000,-6001.00146484375
1741867172.6234047,518500,-5287.88671875
1741867192.5643597,519000,-12915.6689453125
1741867315.254368,522000,-13343.55078125
1741867376.8235502,523500,-25187.998046875
1741867580.3894575,528500,-11094.6142578125
1741867661.7928817,530500,-34728.15234375
1741867702.4867535,531500,-23447.6484375
1741867864.3562236,535500,-11146.23046875
1741867885.2178934,536000,-18300.65234375
1741867926.204474,537000,-8471.5693359375
1741868007.3609784,539000,-19894.330078125
1741868067.6304235,540500,-6362.7607421875
1741868189.4770184,543500,-4622.54052734375
1741868210.3944814,544000,-10152.2744140625
1741868433.5277922,549500,-19896.47265625
1741868514.9621758,551500,-7732.4072265625
1741868555.1805806,552500,-10403.130859375
1741868617.490426,554000,-18488.185546875
1741868656.8829536,555000,-31409.203125
1741868697.0813417,556000,-15888.296875
1741868758.4152644,557500,-12859.138671875
1741868900.1091828,561000,-22464.298828125
1741868921.057058,561500,-9556.0126953125
1741868981.4985383,563000,-35478.5
1741869002.5307553,563500,-17111.19921875
1741869062.313558,565000,-7133.29638671875
1741869124.0952244,566500,-14206.1708984375
1741869164.8261883,567500,-13790.1044921875
1741869265.6304991,570000,-10579.8017578125
1741869408.6139312,573500,-16383.2998046875
1741869510.1688092,576000,-9138.0126953125
1741869529.6401587,576500,-11074.482421875
1741869733.0571957,581500,-8776.01953125
1741869773.4812434,582500,-5076.88818359375
1741869976.983687,587500,-12362.1787109375
1741870017.3922734,588500,-27841.802734375
1741870038.297316,589000,-5560.68896484375
1741870138.671779,591500,-6630.65283203125
1741870179.4711375,592500,-18433.15625
1741870282.1226406,595000,-12414.7626953125
1741870363.0986998,597000,-5771.4462890625
1741870382.961564,597500,-8892.0322265625
1741870443.1223633,599000,-8007.3564453125
1741870626.2635872,603500,-13598.974609375
1741870788.088479,607500,-14544.15625
1741870868.9154184,609500,-15150.48828125
1741870969.922835,612000,-12864.3251953125
1741871010.509293,613000,-15527.7158203125
1741871092.191065,615000,-11809.3642578125
1741871395.5069015,622500,-7652.2099609375
1741871435.664104,623500,-32065.140625
1741871516.2925377,625500,-11973.5048828125
